question,ans1,ans2,ans3
so when calculating the maximum number of notes in a BST is it just 2^(height-1)?,im still stuck,that i do not know,"2^(h+1) - 1 works, from what ive found"
okay do you understand that 3 is the root?,yes,"then, in pre order, the next thing it would do is go left","once we go left, we are in a new recursive call, so we print again"
make sense so far?,yes,then you need to find if 1 has children,the easiest way to do that is check post order
"Just to make sure, the content of the exam is just Trees, BST Trees and AVL Trees, right?",I just saw a post on piazza talking about heap and stack memory and got worried,Does this hold for avl trees too?,it should
Does this hold for avl trees too?,it should,AVL trees are just BST trees that self-balance,Yeah
does anyone know how to solve for this question??,"i thought the tree would grow as 4 - 5 - 6 - 7 - 8 - 9 - 10 where they are all placed at the previous one's right child but that would just give 4,5,6,7,7,8,9,10 for the level order .. so im not sure if i understood the question correctly","i just organize the numbers into an avl tree (i ignore the ""insert in order"" part) and then i do the level order traversal and i seem to always get it right doing it like that",but isnt 4 still the root?
but isnt 4 still the root?,how did u figure out that 7 will be the root here,Even after inserting the first 3 points 4 is not the root.,It will be unbalanced and rotate to fix. Then continue looking at the inserts.
"I signed up for an exam on tuesday but I got hit by a truck and was hospitalized for 2 days, can I change my exam to be this afternoon? I think the emergency deal already sent the necessary materials",@gcevans,All such materials are handled by Thierry. You should be able to do so. If emailing cs225admin@lists.cs.illinois.edu did not get a response from @Thierry I would also reach out to the CBTF and see if they can fix it since it is still in the window.,Is there a specific strategy for taking a traveral and making into a tree if you dont know its height of which nodes are leaf nodes?
Is there a specific strategy for taking a traveral and making into a tree if you dont know its height of which nodes are leaf nodes?,ah this really helps. thank you!,Does anyone understand why this is?,holy sht are you ok?
Does anyone understand why this is?,holy sht are you ok?,The short answer is that there are multiple trees that produce those two traversals. You can see this as you go through the traversals. That makes it so you can build two trees that have different level order traversals.,there are multiple arrangements for a tree with that traversal
holy sht are you ok?,The short answer is that there are multiple trees that produce those two traversals. You can see this as you go through the traversals. That makes it so you can build two trees that have different level order traversals.,there are multiple arrangements for a tree with that traversal,I build all the trees in the anwser choices and only a worked
Did i do that incorrectly then?,probably,you can't really produce only one tree from the in order traversals they give you tbh,cause even those you could interpret in all sorts of ways
oh so it would not work because 401 would be the leaf of 399?,thanks,yes,specifically it would be in 399's left subtree
"did u recognize the hierarchy of the letters? like because b comes after a in the alphabet, it goes to the right of a in the tree",no i know that,i was totally lost until someone just explained it to me lol,oh ok
are all traversal times O(n)?,"not an answer to you, just a question sorry",All of the traversals we have covered run in O(n) time.,are we allowed scratch paper during the online exam?
are we allowed scratch paper during the online exam?,"if we’re taking the exam online, do we join the zoom link from a tablet/phone with our video to show our laptop screen?",Yes and yes.,im so lost
"if we’re taking the exam online, do we join the zoom link from a tablet/phone with our video to show our laptop screen?",Yes and yes.,im so lost,omg np dw
"so it's not like bubble sort because bubble sort doesn't depend on the pattern of inputs over repeated runs
but it doesn't really make sense to think about one input when it does depend on preceding runs for insert?",Again from a technical point of view it would be correct to say that every algorithm we have covered is O(n!) but it would be wrong on a test.,How would u do this one,"why is this wrong, isnt 4 the root node?"
"why is this wrong, isnt 4 the root node?",level order is BFS,"no, the root can change through rotations",7 is the root node because of left rotations
so we just assume its always going to rebalance since its avl?,Also in the case of bubble sort it is always O(n^2) best as well. There is an issue with how we use big-O and complexity in that we use it to best describe what is happening and saying worst case O(n) for insert is not wrong but it is also not right.,i thought the rebalancing would happen after adding everything,wait what page is this
Average for avl trees is always logn right?,unless you traverse it,or there are questions like best case which is o(1),traverse in this class is always O(n)
Worst case for AVL i believe is still O(n) tho correct?,yes agrred,not unless its traverse,also you could insert n items in that case its nlogn
idts? its O(h) for all and h in avl is log n,i feel like ive done all the variants,oh ok yea you're right @Frenzyfire,because in avl if u find u dont have to go to every node u just go from root to leaf in worse case
the answer is node b correct?,heres the BST,ya,why is a on the left
is left alphabetically lower and you have to fill it?,https://www.youtube.com/watch?v=IozGo2kwRYE,Here is an excellent video that goes along with that BST I put in there,3 min is all u need and you'll have this question down easy
https://www.youtube.com/watch?v=IozGo2kwRYE,Here is an excellent video that goes along with that BST I put in there,3 min is all u need and you'll have this question down easy,ah i see i left out the e and a nodes
Is this left rotation or right rotation?,"I'd assume it's left, correct?",yes,it is left
"I'd assume it's left, correct?",yes,it is left,okay
is there a formula i should know for this?,nodes + 1,We did a proof of it the first day talking about trees.,any1 have an explanation for this question?
any1 have an explanation for this question?,"And this is RL rotation, right?","If this said size += 50, would the answer be a?",I think it would be a compiler or runtime error because you have a function that's changing private variables?
"And this is RL rotation, right?","If this said size += 50, would the answer be a?",I think it would be a compiler or runtime error because you have a function that's changing private variables?,so it's out of scope?
"If this said size += 50, would the answer be a?",I think it would be a compiler or runtime error because you have a function that's changing private variables?,so it's out of scope?,"you're right that it would be a compile error, but its because x is trying to call a private variable"
I think it would be a compiler or runtime error because you have a function that's changing private variables?,so it's out of scope?,"you're right that it would be a compile error, but its because x is trying to call a private variable",ok yea
so it's out of scope?,"you're right that it would be a compile error, but its because x is trying to call a private variable",ok yea,So u need the correct scope on the public function call
What were the 3 operators u needed for iterators again?,"*, !=, and <?",or am i wrong on the last one,Why would it be O(n) if it’s an avl
"*, !=, and <?",or am i wrong on the last one,Why would it be O(n) if it’s an avl,Think about it @Itay(itayg2)
is this correct btw?,"operator*(), operator!=(), and operator++()",ahh it was ++,thank you
Does anyone know a proper way to solve these types of questions?,I had to do it intuitively and draw and scratch out a tree,build the tree looking at both lists at the same time,yeah thats what I did but are there any paterns that will help me build it faster?
yeah thats what I did but are there any paterns that will help me build it faster?,*patterns,i have not found one yet 😦,F
will the midterm have content from the 1st midterm as well?,"it says review, so safe to assume 1 or 2 questions?",So for this u just look at BFS for enqueued dequeued,Uhh yea im pretty sure
"it says review, so safe to assume 1 or 2 questions?",So for this u just look at BFS for enqueued dequeued,Uhh yea im pretty sure,draw out the tree
right?,yes,gg,Can someone explain what I did wrong and how it's 6?
Can someone explain what I did wrong and how it's 6?,this is what I got after doing RL,did you do a rotation after each insertion?,oh shit
did you do a rotation after each insertion?,oh shit,lmao i'm tripping,i forgot
how do we do these type of questions?,basically you build the tree using the order of the sequence,"and if you notice that at any point the visit ""jumps"" to the next node (i.e. there is no direct connection to the next node from the previous node), then you know that cannot be possible because you can only visit nodes sequentially",show some of the options and ill walk you through it
does anyone have a list of runtimes for single vs doubly linked lists?,does anyone have a list of runtimes for single vs doubly linked lists?,like the runtimes of the methods for those lists?,"like insert(), find(), and so on?"
does anyone have a list of runtimes for single vs doubly linked lists?,like the runtimes of the methods for those lists?,"like insert(), find(), and so on?",How are non-numerical BSTs sorted? By the position of the characters in the alphabet?
like the runtimes of the methods for those lists?,"like insert(), find(), and so on?",How are non-numerical BSTs sorted? By the position of the characters in the alphabet?,can this be explained
"like insert(), find(), and so on?",How are non-numerical BSTs sorted? By the position of the characters in the alphabet?,can this be explained,yeah
How are non-numerical BSTs sorted? By the position of the characters in the alphabet?,can this be explained,yeah,i saw someone say 4 2 but 2 nodes hanging wouldn't change the height? (nvm)
i saw someone say 4 2 but 2 nodes hanging wouldn't change the height? (nvm),^,A perfect tree with 15 nodes is height 3 right? So then you have 2 more nodes which to make a complete tree go to the left side on the next level.,What runtimes are not clear to you?
A perfect tree with 15 nodes is height 3 right? So then you have 2 more nodes which to make a complete tree go to the left side on the next level.,What runtimes are not clear to you?,got it. Thank you.,doubly linked lists
What runtimes are not clear to you?,got it. Thank you.,doubly linked lists,What about them?
What about them?,i tried looking in the video lectures and TA notes and couldn’t find the calculation for them,for doubly,I kind of forgot how we did them for doubly linked lists
Given that we will ask you to reason about them not just give runtimes what part confuses you?,The base runtimes in a vacuum are the same as for singly linked lists right? Dealing with 2 pointers vs one does not really change things. If you have more details you can talk about specific changes.,I guess the nearest to a general change is that in a singly linked list you can remove at one end in constant time even with head and tail but in a doubly linked list with head and tail you can remove from either end in constant time.,oh okay thank you. i get it
The base runtimes in a vacuum are the same as for singly linked lists right? Dealing with 2 pointers vs one does not really change things. If you have more details you can talk about specific changes.,I guess the nearest to a general change is that in a singly linked list you can remove at one end in constant time even with head and tail but in a doubly linked list with head and tail you can remove from either end in constant time.,oh okay thank you. i get it,"Was under the impression that since the left subtree has a height of h-1, and F(6) = 33, then 33 should be the answer"
Why couldn't it have a height of h - 2?,ah,makes sense,thanks a bunch prof
"it takes log(n) to insert one node into an avl tree, right?",yeah,how is it 26?,at 25 it would be unbalanced
how is it 26?,at 25 it would be unbalanced,why not 20 then?,"we want to make the left subtree right heavy for RL, right?"
why not 20 then?,"we want to make the left subtree right heavy for RL, right?",if you add 20 the balance is still fine at 17,2 vs 2 so difference of 0
"we want to make the left subtree right heavy for RL, right?",if you add 20 the balance is still fine at 17,2 vs 2 so difference of 0,"shoot, gotcha"
"so, then how do we differentiate when doing RL and LR then if we're only looking to make it disbalanced?",look at how the final node is going to be added,for right left it's an elbow that goes left after a right,"for deleting in a bst, instead of going left then right to find the iop, what if we went right then left?"
"for deleting in a bst, instead of going left then right to find the iop, what if we went right then left?",like what if we swapped 3 with 5 instead,"that's fine, that's IOS",there are two ways to remove parent with two children
Wouldnt iop be above the node tho?,"Cuz ""predecessor""",Yes the image is the iop(in order predicessor),Hmmm
general rule is 2^(h+1) -1?,yeah,same as BST,maximum number of nodes is a perfect tree
is there a tentative date for exam 3? will it be before thanksgiving break?,after thanksgiving break,thank the lord,does anyone know when the final exams are scheduled
?,"No final exam, we only have the final proejct",oh wut,wait how sure r u @Tabish
can someone explain this one?,idk why you'd need 4500 slots if you know ur only gonna have up to 2900 UINs,Hash tables should generally be a decent bit bigger than the data stored,Otherwise hash collisions can result in really long finds/inserts
"why not e, then?","""use no more memory than necessary""","100k would be pretty fast, but also overkill","Can't see why that would be an issue, if you have 2900 UINs and 2900 slots you should never run until a hash collision right?"
"Can't see why that would be an issue, if you have 2900 UINs and 2900 slots you should never run until a hash collision right?",Ok nvm i see where I went wrong lol,I suppose it's possible that UINs still hash collide,^
Hey can someone explain this question?,Well you should understand the interface to all those data structures and the Big-O running time of each one. Now you have to ask your self if you want to implement a dictionary using each one how would you do it and could you do it using only a constant number of calls to methods on them that run in strictly less than O(n) time.,Ahh i see thank you so much,"By the way, will this next exam be similar to the previous ones in the sense that past material will also be tested like things from exam 1 and 2 but just in less of a prominent fashion?"
"By the way, will this next exam be similar to the previous ones in the sense that past material will also be tested like things from exam 1 and 2 but just in less of a prominent fashion?",Yes,Ok thank you,"For this one, the answer is seperate chaining because you're probably going to have keys from A-z or 0-25 and you want a linked list branching off of each key to store however many words you may have beginning with that corresponding letter?"
"For this one, the answer is seperate chaining because you're probably going to have keys from A-z or 0-25 and you want a linked list branching off of each key to store however many words you may have beginning with that corresponding letter?","And linear probing wouldn't work because that would mean you have a closed hash table so basically you would need an array thats 10,000 long",The larger issue here is that range of the hash function is only equal to the number of letters in the alphabet.,But yes you have the idea. One way to look at is that separate chaining is better with a bad hash function. So if you are no sure of how good the function is you should choose that.
"Also what is a ""hash value"", is that just refering to the hash function, or something completely different?",A hash value is the output of a hash function.,"Yea I ended up figuring that out, thanks for the confirmation though!","I understand generally where the answer is coming from just from process of elimination, but usually I would think the running time would be like O(h) where h is the height of the ""tree"". What would be an example where your running time is O(logn)?"
"I understand generally where the answer is coming from just from process of elimination, but usually I would think the running time would be like O(h) where h is the height of the ""tree"". What would be an example where your running time is O(logn)?","Also stupid question, what does heapifyUp do again btw?",move something of higher priority up,When your tree of n items has a height of log n so anything that is O(h) is O(log n).
"Also stupid question, what does heapifyUp do again btw?",move something of higher priority up,When your tree of n items has a height of log n so anything that is O(h) is O(log n).,Ahh I see thank you
"Maybe I just have a conceptual error, but why is the answer 17, does Kruskals not just start with the minimum edge which would be 6?",there's a 3,"Ok that's true, but why is the answer 18 then?",What does disk seeks mean in this context?
"Ok that's true, but why is the answer 18 then?",What does disk seeks mean in this context?,my handwriting's not great but you can kind of get the idea,so a kruskals algorithm does or doesn't start at the minimum edge?
What does disk seeks mean in this context?,my handwriting's not great but you can kind of get the idea,so a kruskals algorithm does or doesn't start at the minimum edge?,it keeps grabbing the minimum edge that leads to an undiscovered node
so a kruskals algorithm does or doesn't start at the minimum edge?,it keeps grabbing the minimum edge that leads to an undiscovered node,I guess I don't understand does the question ask for the first minimum edge you would grab?,Because that would be 3 right?
I guess I don't understand does the question ask for the first minimum edge you would grab?,Because that would be 3 right?,it asks for which edge wouldn't not be included,not be included?
Because that would be 3 right?,it asks for which edge wouldn't not be included,not be included?,"But it asks which edge would be ""added"" to the MST"
not be included?,"But it asks which edge would be ""added"" to the MST",wouldn't that mean included?,sorry im confusing myself a bit
wouldn't that mean included?,sorry im confusing myself a bit,one second,no worries haha
I think inserting 10 will not cause the btree to split anywhere. am i right?,Yes,"Hey I just forgot, is ""smart union"" supposed to be union by height or union by size?","is 2 not valid because of the ""all leaves are on the same level"" property or the ""all internal nodes have ceil m/a up to m  children"" property?"
"Hey I just forgot, is ""smart union"" supposed to be union by height or union by size?","is 2 not valid because of the ""all leaves are on the same level"" property or the ""all internal nodes have ceil m/a up to m  children"" property?",Both are smart union and both provide the same runtime.,Well only the first is actually violated since what should be internal nodes are leaves.
"is 2 not valid because of the ""all leaves are on the same level"" property or the ""all internal nodes have ceil m/a up to m  children"" property?",Both are smart union and both provide the same runtime.,Well only the first is actually violated since what should be internal nodes are leaves.,"for this question, are we assuming that the path compression just happens after each union?"
"for this question, are we assuming that the path compression just happens after each union?",If a union is not on a root there must be a find to get the root.,"How does union(I, D) work?",So far my picture looks like that
"How does union(I, D) work?",So far my picture looks like that,I've been taking the first parameter and making that a child of the second param,"But since I is already connected to E, how would I union it to D?"
"But since I is already connected to E, how would I union it to D?",You would do a find and then union the roots. You can only union at the roots.,"So this case, when I do find on I, nothing would change because I is already pointing at E which is the root",Then I would unioning D to E because D has less size?
Then I would unioning D to E because D has less size?,Yes,Ok thank you,"Ok so sorry I'm still a little confused, how would union(F, E) work here?"
"Ok so sorry I'm still a little confused, how would union(F, E) work here?","since the root node of E has a greater size than just the root node at F, would F merge into the tree that E is currently in?",Like this?,No union all ways connects at the root. You should have written the code for this in MP mazes.
"since the root node of E has a greater size than just the root node at F, would F merge into the tree that E is currently in?",Like this?,No union all ways connects at the root. You should have written the code for this in MP mazes.,"In this type of question when it says ""left side winning"", does that mean the left side will be the bigger node or smaller node"
Like this?,No union all ways connects at the root. You should have written the code for this in MP mazes.,"In this type of question when it says ""left side winning"", does that mean the left side will be the bigger node or smaller node","so if I had that union below and they were both root nodes, which node would be my new root node after the union?"
"so if I had that union below and they were both root nodes, which node would be my new root node after the union?",If they are both roots and both of the same size then D would still be a root after union.,"Ahh I had the opposite, I understand now thank you","I'm a bit confused about this question about double hashing. When I insert 2 into the hash table, it will go in slot 6. Then when I go to insert 6, I  get a collision because 2 is already at index 6, so I need to do h1(6 + h2(6)). but that gives h1(13) which I don't know the value of since the hash function used is not explicitly given. Am I misunderstanding the question?"
"I'm a bit confused about this question about double hashing. When I insert 2 into the hash table, it will go in slot 6. Then when I go to insert 6, I  get a collision because 2 is already at index 6, so I need to do h1(6 + h2(6)). but that gives h1(13) which I don't know the value of since the hash function used is not explicitly given. Am I misunderstanding the question?","Mostly correct, except it should be h1(6) + h2(6)",Not h1(6 + h2(6)),So in that case your 6 goes in slot 13%8 = 5
"I'm a bit confused on how this is valid.  If everything is arranged on one level in alphabetical order, shouldn't D be the first node to get passed up as the parent? Then G afterwards?",consider the tree with only F in the root and ABD in the left of F. Now insert C into that tree. That would produce this tree if you split as 2/1.,When will the registration for online exam3 open?,I am afraid @mattox will have to answer that.
When will the registration for online exam3 open?,I am afraid @mattox will have to answer that.,what does option d even mean,i think D means both A and C
"oh so like ""both of them could be considered dictionaries""?",mk,"yeah so its basically, A could be considered a dictionary, C could be considered a dictionary, both A and C could be considered a dictionary, or neither could be considered a dictionary",mmhmm gotcha. Thanks!
"for a disjoint set, the root of the set stores the negative value of the number of elements in that set right?",I believe that is the implementation used in the MP at least yes,mk,and do we need to know or care about smart union by rank
isn't that just the shallow one is merged into the deep one?,"also for disjoint set problems when they say ""Assume smart-union by size, with the left side winning in the event of a tie."" this means the left argument wins right?",You should understand both union by by size and union by rank(height). You are correct about what that is.,And finally yes if left wins in ties it means that the left root will be the root of the unioned up-tree.
"also for disjoint set problems when they say ""Assume smart-union by size, with the left side winning in the event of a tie."" this means the left argument wins right?",You should understand both union by by size and union by rank(height). You are correct about what that is.,And finally yes if left wins in ties it means that the left root will be the root of the unioned up-tree.,"ok. so a problem saying ""Assume smart-union by size, with the left side winning in the event of a tie."" says the exact same thing as a problem saying ""In the event that the two sizes are equal, the first argument will be considered as larger than the second.""?"
"ok. so a problem saying ""Assume smart-union by size, with the left side winning in the event of a tie."" says the exact same thing as a problem saying ""In the event that the two sizes are equal, the first argument will be considered as larger than the second.""?","also for this one, BFS is O(m+n), but since we're considering worst case and the worst case is when m = n^2, we say O(n^2). Is that logic correct?",(and also wouldn't that technically make c also a correct answer?),"No, BFS is O(m+n) for an adjacency list, and O(n^2) for an adjacency matrix."
"also for this one, BFS is O(m+n), but since we're considering worst case and the worst case is when m = n^2, we say O(n^2). Is that logic correct?",(and also wouldn't that technically make c also a correct answer?),"No, BFS is O(m+n) for an adjacency list, and O(n^2) for an adjacency matrix.","The idea of setting worst case to m = n^2 doesn't work because it's not uniquely the worst case for all graphs that m is n^2 (consider a graph with three vertices and the maximum number of non-redundant edges). Even in the case that you could do that, why not have a worst case of O(n^3) at that point?"
(and also wouldn't that technically make c also a correct answer?),"No, BFS is O(m+n) for an adjacency list, and O(n^2) for an adjacency matrix.","The idea of setting worst case to m = n^2 doesn't work because it's not uniquely the worst case for all graphs that m is n^2 (consider a graph with three vertices and the maximum number of non-redundant edges). Even in the case that you could do that, why not have a worst case of O(n^3) at that point?","If you need the intuition for the runtime of the adjacency matrix, remember that the length of the  adjacency matrix for any given vertex will be |V| = n."
"The idea of setting worst case to m = n^2 doesn't work because it's not uniquely the worst case for all graphs that m is n^2 (consider a graph with three vertices and the maximum number of non-redundant edges). Even in the case that you could do that, why not have a worst case of O(n^3) at that point?","If you need the intuition for the runtime of the adjacency matrix, remember that the length of the  adjacency matrix for any given vertex will be |V| = n.",Ah ic. Thanks!,"I'm not quite sure about what the phrase ""left side winning"" means. Does that mean left side of the function union(B,A) (which is B) wins if A and B tie?"
"I'm not quite sure about what the phrase ""left side winning"" means. Does that mean left side of the function union(B,A) (which is B) wins if A and B tie?",Yes. I do want to understand what else it could mean?,Like which one is further left in the array?,Assuming the array is listed left to right ig
Yes. I do want to understand what else it could mean?,Like which one is further left in the array?,Assuming the array is listed left to right ig,OK. I can see that at least.
Like which one is further left in the array?,Assuming the array is listed left to right ig,OK. I can see that at least.,Yeah That’s what i thought
what about for DFS?,Same runtime,"There's nothing fundamentally different between DFS and BFS with respect to runtime, considered that they're almost the same algorithm",why does it rearrange like that
What confuses you about this? Do you remember how a btree works at all?,think about throwing the middle key up,and how we can only store up to m-1 keys per node,why can't we use heaps to represent a dictionary?
why can't we use heaps to represent a dictionary?,How do you implement find(key) with a heap interface?,The only functions you have are removeMin and insert?,ah I see thanks
How do you implement find(key) with a heap interface?,The only functions you have are removeMin and insert?,ah I see thanks,In a real sense we are moving to asking the real questions you will see using this material in the future. That is what data structures can you use to do task Z efficiently.
The only functions you have are removeMin and insert?,ah I see thanks,In a real sense we are moving to asking the real questions you will see using this material in the future. That is what data structures can you use to do task Z efficiently.,yeah
can someone explain why the first index is -6 and not -1? the rest of my array is correct besides that first index,It contains -size as it did in mp_mazes.,"Quick sanity check question: for btrees, I was under the impression that all internal nodes have exactly one more child than keys. However, I was able to create the following btree using the applet linked on the course website. 
Are 20 and 50 not internal nodes here? From what I can tell, they both have 2 keys and 2 children",They both have one key right. 20 only contains 20 and 50 only contains 50.
"Quick sanity check question: for btrees, I was under the impression that all internal nodes have exactly one more child than keys. However, I was able to create the following btree using the applet linked on the course website. 
Are 20 and 50 not internal nodes here? From what I can tell, they both have 2 keys and 2 children",They both have one key right. 20 only contains 20 and 50 only contains 50.,why isn't this a valid btree? is it because L goes to MOP when that would put MOP before L in the btree?,"Ah for some reason, I was under the impression that the lines were the keys..."
why isn't this a valid btree? is it because L goes to MOP when that would put MOP before L in the btree?,"Ah for some reason, I was under the impression that the lines were the keys...","I think this problem referenced that the btree was of order 4, which means that the DGLT is invalid. (I defer to prof in the case I'm wrong)","oh i thought order was the max number of keys in the node
so order 4 means that 4 are acceptable"
sorry if this has been asked before but does the # of attempts in the prarielearn prac reflect the actual exam or will it be closer to the past 2 exams?,Yea I was told by a friend that last year Primm's algo was on the midterm but I haven't encountered it in the practice tests yet,how representative is the practice test of the actual test in terms of breadth covered,i had a couple questions on it in the practice test
Will the runtime of Kruskal and Prim be tested?,You should understand the runtimes of both Prim's and Kruskal's.,when would we get the online cbtf link for exam 3?,"What's the fastest data structure for choice a,c,d and e?"
when would we get the online cbtf link for exam 3?,"What's the fastest data structure for choice a,c,d and e?",I think a dictionary of char to list/array would work for a if you want a purpose built data structure,"for c, BFS and store it as paths from v_s? so a 1d/2d vector as in solveMaze"
"What's the fastest data structure for choice a,c,d and e?",I think a dictionary of char to list/array would work for a if you want a purpose built data structure,"for c, BFS and store it as paths from v_s? so a 1d/2d vector as in solveMaze",this works for any destination from a given source
"for c, BFS and store it as paths from v_s? so a 1d/2d vector as in solveMaze",this works for any destination from a given source,you could reverse it to be any source to a given destination,"d, kd tree?"
"d, kd tree?","What would the actual solution to this problem be? I understand that you would want to have keys that have the minimum number of characters possible while still being able to differentiate the people, so would you just have the entire name as the keys?","The problem is that none of these solutions are correct. Consider the two groups {a,bc} and {ab,c}. This will not work for most also consider {aa,ab} and {ac,ad} which will not work for the first letters.","@gcevans Will we have to do smart-union by height on the exam at all, since I see that ""smart-union size"" is bolded on the prac exams signifying it can maybe change?"
"What would the actual solution to this problem be? I understand that you would want to have keys that have the minimum number of characters possible while still being able to differentiate the people, so would you just have the entire name as the keys?","The problem is that none of these solutions are correct. Consider the two groups {a,bc} and {ab,c}. This will not work for most also consider {aa,ab} and {ac,ad} which will not work for the first letters.","@gcevans Will we have to do smart-union by height on the exam at all, since I see that ""smart-union size"" is bolded on the prac exams signifying it can maybe change?",Can someone help me with this question please? I am not sure how to go about it. Is there a general formula for the number of cross edges?
"@gcevans Will we have to do smart-union by height on the exam at all, since I see that ""smart-union size"" is bolded on the prac exams signifying it can maybe change?",Can someone help me with this question please? I am not sure how to go about it. Is there a general formula for the number of cross edges?,and for back edges?,yeah
Can someone help me with this question please? I am not sure how to go about it. Is there a general formula for the number of cross edges?,and for back edges?,yeah,I remember a similar question like that too on a previous practice exam
and for back edges?,yeah,I remember a similar question like that too on a previous practice exam,Is the answer 4n+3?
Is the answer 4n+3?,Yes!,Here’s my approach,I recognised that the total number of edges is 5n+2
Would it be the same for back edges as well?,"similar concept, i think i've seen that question before so give me a second to look for it","this one, right?",Yeah
"this one, right?",Yeah,"yeah, it's the same idea, except they didn't give you the total number of edges","the keywords here then are: connected, undirected, degree 6"
Do you know how it would change if it were a directed graph?,if it was directed more details would be needed,cause in that case we could not guarantee that for every edge A->B it exists a B->A,it'd be very difficult for us to generally compute how many edges are
will the previous exam section have content from only exam 2 or both exam 1 and 2?,You should understand both.,Both 1 and 2.,not me trying to figure out how an AVL tree works again
is week 13 in midterm 3?,https://courses.engr.illinois.edu/cs225/fa2021/exams/exam3/,"okay, so i was on that link, i just missed mst at the end 😅",thanks
Does anyone know why the answer is none of them? I think it is because it is a normal spanning tree and not minimum but I'm not sure.,It is none of them since nothing about how it is build would ensure it is any of them. That is it could be true that any of them are true but there is nothing about this that makes any of them true.,"Oh so we basically need more information about the graph such as directed, connectivity, etc?","No, I am saying that the constraints on the spanning tree generated by DFS are insufficient to make any of those things true in all cases."
"Oh so we basically need more information about the graph such as directed, connectivity, etc?","No, I am saying that the constraints on the spanning tree generated by DFS are insufficient to make any of those things true in all cases.",I guess if the graph was a tree they would all be true but that it because there is only one path between two points on a tree.,ohh okay that makes sense
What if I just selected a bunch of random edges on a graph what would they tell me about the graph?,Nothing really.,Thank you,could someone explain this one
what happens to 1 and 0 after we do 2 5 7 3 ?,it moves down by the value given by the second function until it hits an empty spot,like h1(1) is 1 but that already had a 7 in it and so is h2(1) which i think is 3 is filled by 5,so
but we did check 3 before moving to 5th position right?,3 has 5 in it,ahh i see thanks,np
Thoughts on this one?,"19, 12, 9, 3, 5, 6, 7, 11",can someone explain me this?,why 4500 instead of 2900?
can someone explain me this?,why 4500 instead of 2900?,To many collisions at that point.,Is the answer O(1) because you are inserting at the front of a linked list everytime? (and that's always O(1))
why 4500 instead of 2900?,To many collisions at that point.,Is the answer O(1) because you are inserting at the front of a linked list everytime? (and that's always O(1)),Or just because it is initially empty?
Is the answer O(1) because you are inserting at the front of a linked list everytime? (and that's always O(1)),Or just because it is initially empty?,Since there is no order you can insert wherever is efficient so yes.,"Im kind of confused on how a btree works, especially each node can hold multiple keys and multiple children"
Or just because it is initially empty?,Since there is no order you can insert wherever is efficient so yes.,"Im kind of confused on how a btree works, especially each node can hold multiple keys and multiple children",how does it function as a BST?
how does it function as a BST?,does each key specifically point to children?,"```Which of the following statement(s) are correct about collision?

i) Two entries are identical except for their keys.

ii) Two entries with different data have the exact same key.

iii) Two entries with different keys have the same exact hash value.

iv) Two entries with the exact same key have different hash values.

(a) iii only
(b) i only
(c) i and iii only
(d) iV only
(e) ii and iii only```Why is ii not true, what is meant by entry data vs key?",is this beacuse you need to initially seek for top node of tree?
does each key specifically point to children?,"```Which of the following statement(s) are correct about collision?

i) Two entries are identical except for their keys.

ii) Two entries with different data have the exact same key.

iii) Two entries with different keys have the same exact hash value.

iv) Two entries with the exact same key have different hash values.

(a) iii only
(b) i only
(c) i and iii only
(d) iV only
(e) ii and iii only```Why is ii not true, what is meant by entry data vs key?",is this beacuse you need to initially seek for top node of tree?,Why is this heapifyDown instead of HeapifyUp?
"```Which of the following statement(s) are correct about collision?

i) Two entries are identical except for their keys.

ii) Two entries with different data have the exact same key.

iii) Two entries with different keys have the same exact hash value.

iv) Two entries with the exact same key have different hash values.

(a) iii only
(b) i only
(c) i and iii only
(d) iV only
(e) ii and iii only```Why is ii not true, what is meant by entry data vs key?",is this beacuse you need to initially seek for top node of tree?,Why is this heapifyDown instead of HeapifyUp?,I think so
is this beacuse you need to initially seek for top node of tree?,Why is this heapifyDown instead of HeapifyUp?,I think so,heapafiy down will only be called on n/2 nodes where heapafiy up will be called on n nodes
Why is this heapifyDown instead of HeapifyUp?,I think so,heapafiy down will only be called on n/2 nodes where heapafiy up will be called on n nodes,In a hash table you look things up by key and store data associated with it. This is roughly the dictionary interface we have talked about most of the semester.
"Can someone help with this one please? I dont understand why element 8's final value is 1 and not 3. I thought it was 3 because in the third union, 3 is the root with 8 pointing to it. So I thought 8's value would change to 3.  Then in the 4th union, it makes 3 point to whatever 7's root is (which is 1), so 3's value becomes 1. But I don't understand why 8's value becomes 1 as well.",The last union I think is why,you’d be unioning find(2) and find(8),since find uses path compression
find would get the root of the element?,some questions explicitly say no path compression,in which case you’d be right,yup
How would the answer change if you used path compression for this?,Im just wondering what the difference between path compression and no path compression would be here because I think I get the same answer,"This is sort of a trick question. Hash collisions are about values at hashes, independent of what structure they’re being used with. In practice, hash collisions would seem to cause two different data entries to get the same key but that is not the intrinsic definition of a hash collision!",I’d recommend doing both examples out! One you’ll just find roots every time you ‘perform a find’ and for the other you’ll edit the pointings when you ‘perform the finds’!
"What would the final array be if it were using path compression? Would it be [-1, 7, 7, 7, -1, 2, -1, -6, 7, -1]?",why does it go to 7 instead of 2,It’s linear probing and it’s asking what the most probable destination is,"It would only go to 2 if the hash happened to be 0, 1 or 2"
